1548099531.209:434426125,25316,"/bin/systemd-tty-ask-password-agent",close,"/proc/filesystems"
1548099531.209:434426129,25316,"/bin/systemd-tty-ask-password-agent",close,"/proc/self/stat"
1548099531.209:434426133,25316,"/bin/systemd-tty-ask-password-agent",close,"/proc/self/stat"
1548099531.209:434426137,25316,"/bin/systemd-tty-ask-password-agent",close,"/run/systemd/ask-password"
1548100262.346:434580574,25424,"/lib/systemd/systemd-udevd",close,"/proc/cmdline"
1548100262.346:434580581,25428,"/lib/systemd/systemd-udevd",close,"/proc/cmdline"
1548100262.346:434580584,25426,"/sbin/audispd",close,"/proc/sys/vm/overcommit_memory"
1548100262.346:434580595,25420,"/lib/systemd/systemd-udevd",close,"/sys/devices/virtual/dmi/id/sys_vendor"
1548100262.350:434580609,25427,"/lib/systemd/systemd-udevd",close,"/sys/devices/virtual/dmi/id/sys_vendor"
1548100262.350:434580610,25429,"/lib/systemd/systemd-udevd",close,"/sys/devices/virtual/dmi/id/sys_vendor"
1548100262.350:434580611,25420,"/lib/systemd/systemd-udevd",close,"/sys/devices/virtual/dmi/id/sys_vendor"
1548100262.350:434580626,25430,"/lib/systemd/systemd-udevd",close,"/sys/devices/virtual/dmi/id/sys_vendor"
1548100262.350:434580627,25427,"/lib/systemd/systemd-udevd",close,"/sys/devices/virtual/dmi/id/sys_vendor"
1548100262.350:434580628,25429,"/lib/systemd/systemd-udevd",close,"/sys/devices/virtual/dmi/id/sys_vendor"
1548100262.350:434580636,25420,"/lib/systemd/systemd-udevd",close,"/proc/cmdline"
1548100262.350:434580637,25430,"/lib/systemd/systemd-udevd",close,"/sys/devices/virtual/dmi/id/sys_vendor"
1548100262.350:434580645,25429,"/lib/systemd/systemd-udevd",close,"/proc/cmdline"
1548100262.350:434580646,25430,"/lib/systemd/systemd-udevd",close,"/proc/cmdline"
1548100262.350:434580648,25422,"/lib/systemd/systemd-cgroups-agent",close,stdout
1548100262.350:434580654,25427,"/lib/systemd/systemd-udevd",close,"/proc/cmdline"
1548100265.998:434580824,2627,"/usr/sbin/irqbalance",close,"/proc/interrupts"
1548100265.998:434580828,2627,"/usr/sbin/irqbalance",close,"/proc/stat"
1548100267.370:434580865,3140,"/usr/bin/perl",close,stdout
1548100267.370:434580866,3140,"/usr/bin/perl",close,stdin
1548100267.370:434580868,3140,"/usr/bin/perl",write,stdin
1548100267.370:434580873,3140,"/usr/bin/perl",close,stdout
1548100267.370:434580874,3140,"/usr/bin/perl",close,stdout
1548100267.370:434580877,3140,"/usr/bin/perl",close,stdout
1548100267.370:434580881,3140,"/usr/bin/perl",close,stdout
1548100267.370:434580882,3140,"/usr/bin/perl",close,stdout
1548100267.374:434580883,3140,"/usr/bin/perl",close,stdout
1548100274.134:434581077,25379,"/bin/bash",write,stderr
1548100274.134:434581080,25379,"/bin/bash",write,stderr
1548100274.134:434581083,25379,"/bin/bash",write,stderr
1548100274.134:434581087,25379,"/bin/bash",write,stderr
1548100274.134:434581092,25379,"/bin/bash",write,stderr
1548100274.134:434581095,25379,"/bin/bash",write,stderr
1548100274.134:434581099,25379,"/bin/bash",write,stderr
1548100274.134:434581104,25379,"/bin/bash",write,stderr
1548100274.134:434581108,25379,"/bin/bash",write,stderr
1548100274.134:434581113,25379,"/bin/bash",write,stderr
1548100274.134:434581117,25379,"/bin/bash",write,stderr
